,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,Netau_MSD,c0,c1,c2,c3,c4,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
274,30.0,32.0,34.0,14,,,,,,,,,,,,,,,5
275,30.0,32.0,34.0,15,,,,,,,,,,,,,,,5
276,30.0,32.0,34.0,16,,,,,,,,,,,,,,,5
277,30.0,32.0,34.0,17,,,,,,,,,,,,,,,5
278,30.0,32.0,34.0,18,,,,,,,,,,,,,,,5
279,30.0,32.0,34.0,19,,,,,,,,,,,,,,,5
280,31.0,33.0,35.0,0,,,,,,,,,,,,,,,5
281,31.0,33.0,35.0,1,,,,,,,,,,,,,,,5
282,31.0,33.0,35.0,2,,,,,,,,,,,,,,,5
283,31.0,33.0,35.0,3,,,,,,,,,,,,,,,5
284,31.0,33.0,35.0,4,,,,,,,,,,,,,,,5
285,31.0,33.0,35.0,5,,,,,,,,,,,,,,,5
286,31.0,33.0,35.0,6,,,,,,,,,,,,,,,5
287,31.0,33.0,35.0,7,,,,,,,,,,,,,,,5
288,31.0,33.0,35.0,8,,,,,,,,,,,,,,,5
289,31.0,33.0,35.0,9,,,,,,,,,,,,,,,5
290,31.0,33.0,35.0,10,,,,,,,,,,,,,,,5
291,31.0,33.0,35.0,11,,,,,,,,,,,,,,,5
292,31.0,33.0,35.0,12,,,,,,,,,,,,,,,5
293,31.0,33.0,35.0,13,,,,,,,,,,,,,,,5
294,31.0,33.0,35.0,14,,,,,,,,,,,,,,,5
295,31.0,33.0,35.0,15,,,,,,,,,,,,,,,5
296,31.0,33.0,35.0,16,,,,,,,,,,,,,,,5
297,31.0,33.0,35.0,17,,,,,,,,,,,,,,,5
298,31.0,33.0,35.0,18,,,,,,,,,,,,,,,5
299,31.0,33.0,35.0,19,,,,,,,,,,,,,,,5
300,32.0,34.0,36.0,0,,,,,,,,,,,,,,,5
301,32.0,34.0,36.0,1,,,,,,,,,,,,,,,5
302,32.0,34.0,36.0,2,,,,,,,,,,,,,,,5
303,32.0,34.0,36.0,3,,,,,,,,,,,,,,,5
304,32.0,34.0,36.0,4,,,,,,,,,,,,,,,5
305,32.0,34.0,36.0,5,,,,,,,,,,,,,,,5
306,32.0,34.0,36.0,6,,,,,,,,,,,,,,,5
307,32.0,34.0,36.0,7,,,,,,,,,,,,,,,5
308,32.0,34.0,36.0,8,,,,,,,,,,,,,,,5
309,32.0,34.0,36.0,9,,,,,,,,,,,,,,,5
310,32.0,34.0,36.0,10,,,,,,,,,,,,,,,5
311,32.0,34.0,36.0,11,,,,,,,,,,,,,,,5
312,32.0,34.0,36.0,12,,,,,,,,,,,,,,,5
313,32.0,34.0,36.0,13,,,,,,,,,,,,,,,5
314,32.0,34.0,36.0,14,,,,,,,,,,,,,,,5
315,32.0,34.0,36.0,15,,,,,,,,,,,,,,,5
316,32.0,34.0,36.0,16,,,,,,,,,,,,,,,5
317,32.0,34.0,36.0,17,,,,,,,,,,,,,,,5
318,32.0,34.0,36.0,18,,,,,,,,,,,,,,,5
319,32.0,34.0,36.0,19,,,,,,,,,,,,,,,5
320,33.0,35.0,37.0,0,,,,,,,,,,,,,,,5
321,33.0,35.0,37.0,1,,,,,,,,,,,,,,,5
322,33.0,35.0,37.0,2,,,,,,,,,,,,,,,5
323,33.0,35.0,37.0,3,,,,,,,,,,,,,,,5
324,33.0,35.0,37.0,4,,,,,,,,,,,,,,,5
325,33.0,35.0,37.0,5,,,,,,,,,,,,,,,5
326,33.0,35.0,37.0,6,,,,,,,,,,,,,,,5
327,33.0,35.0,37.0,7,,,,,,,,,,,,,,,5
328,33.0,35.0,37.0,8,,,,,,,,,,,,,,,5
329,33.0,35.0,37.0,9,,,,,,,,,,,,,,,5
330,33.0,35.0,37.0,10,,,,,,,,,,,,,,,5
331,33.0,35.0,37.0,11,,,,,,,,,,,,,,,5
332,33.0,35.0,37.0,12,,,,,,,,,,,,,,,5
333,33.0,35.0,37.0,13,,,,,,,,,,,,,,,5
334,33.0,35.0,37.0,14,,,,,,,,,,,,,,,5
335,33.0,35.0,37.0,15,,,,,,,,,,,,,,,5
336,33.0,35.0,37.0,16,,,,,,,,,,,,,,,5
337,33.0,35.0,37.0,17,,,,,,,,,,,,,,,5
338,33.0,35.0,37.0,18,,,,,,,,,,,,,,,5
339,33.0,35.0,37.0,19,,,,,,,,,,,,,,,5
340,34.0,36.0,38.0,0,1.2392465690199723,3.468413537897789,1.0,1.0,1.0,10000000.000000006,1.0,4.82643425380284,1.000003210086749,1.0,1.0,1831.0319595597027,5986.101233790558,7316.345952410682,5
341,34.0,36.0,38.0,1,3.3242283055679493,1.0,8.124785501235586,1.0,18.278329358915123,10000000.000000006,3.743685373580632,1.0,8.596535613944836,1.0,18.207567579792755,100000000000.0,726699375000.0,909432859565.2726,5
342,34.0,36.0,38.0,2,1.907661111359903,1.0,7.09864336032598,1.0,1.0,10000000.000000006,2.0482614328863917,1.0,7.523246101833186,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,5
343,34.0,36.0,38.0,3,1.0,7.467495253697894,1.0,1.0,5.700702955197483,10000000.000000006,1.0,9.05067893164883,1.5541928506627412,1.0,8.483471959227481,100000000000.0,334587304687.5,398941061239.2426,5
344,34.0,36.0,38.0,4,1.8629780267331018,3.1147835163206827,12.11208932392889,1.0,13.405975896158687,10000000.000000006,5.257926917246275,1.79500717214054,10.16031243830734,1.0,30.25315026424669,100000000000.0,708975000000.0,823198750000.0001,5
345,34.0,36.0,38.0,5,5.249937407223504,2.7638109305577414,1.0,1.0,1.0,10000000.000000006,6.623437987118454,3.9562896785184436,1.0,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,5
346,34.0,36.0,38.0,6,1.9209273710382058,2.4452616536178864,3.0589974048521755,1.0,1.0,10000000.000000006,4.231965151361174,3.0104071992876498,2.7415176022252417,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,5
347,34.0,36.0,38.0,7,,,,,,,,,,,,,,,5
348,34.0,36.0,38.0,8,1.0,1.0,1.0,3.3240122338826885,3.498979852842498,10000000.000000006,1.0,1.0,1.0,1.0,3.0939586807443984,161.54739684759355,40.01353956020781,313.63667687120414,5
349,34.0,36.0,38.0,9,1.5995005564585971,3.288253605590167,1.0,1.0,4.196929112710963,123.67423967628918,1.7919922855787807,4.353102217850588,1.0,1.0,1.7635616681575939,122.89286577979748,30.470345263422022,238.59072189641884,5
350,34.0,36.0,38.0,10,1.0,1.0,20.07416766904001,1.0,28.882084382071316,10000000.000000006,1.0,1.0,14.988318480769074,1.0,35.578063264983506,100000000000.0,708975000000.0,866525000000.0001,5
351,34.0,36.0,38.0,11,1.5431237112951086,1.2703419356117185,15.72051699431239,1.0,1.0,10000000.000000006,1.679480034355945,1.559346609142508,15.727906013918988,1.0,1.0,100000000000.0,708975000000.0,823198750000.0001,5
352,34.0,36.0,38.0,12,1.8451963188942526,5.302561713232138,2.118006929661909,1.0,18.58990748621185,10000000.000000006,2.423268630191498,4.818449245485064,8.1257702605336,1.0,17.95552073504656,100000000000.0,708975000000.0,866525000000.0001,5
353,34.0,36.0,38.0,13,2.2224556835251734,6.278603260862329,1.0,1.0,1.0,10000000.000000006,2.14134025189495,6.682873332521672,1.0,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,5
354,34.0,36.0,38.0,14,2.6916588197125826,10.506253149857459,1.0,1.0,5.531577073385307,10000000.000000006,2.8487895439152884,8.911035846808472,1.0,1.0,5.0815047084258715,100000000000.0,517950000000.0,633050000000.0,5
355,34.0,36.0,38.0,15,7.144365629803654,1.0,1.0,1.0,1.0,10000000.000000006,7.416085355463784,1.0,1.0,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,5
356,34.0,36.0,38.0,16,3.7941471840869325,5.747492998432532,1.0,2.415976377606887,9.288257923416687,6846448.29956171,4.690468738411965,5.872205272126703,2.790593856480603,1.0,12.961619929116745,100000000000.0,75620192307.6923,87906287712.03433,5
357,34.0,36.0,38.0,17,1.0,6.437462903075513,1.0,1.0,1.0,10000000.000000006,1.0,6.866981824119541,1.0,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,5
358,34.0,36.0,38.0,18,3.640130985659199,1.0,1.0,1.6349051022757686,1.0,8271766.430977746,5.7161983085683925,2.7616192801884765,2.1844001253577607,1.0,3.514572091215027,100000000000.0,708975000000.0,866525000000.0001,5
359,34.0,36.0,38.0,19,8.696122253642573,1.0,13.110609543118544,1.0,12.784104201973468,10000000.000000006,9.177032101713827,1.0,12.234478336864019,6.084112052586766,9.588782216063473,100000000000.0,127193018281.99834,154514545592.44888,5
360,35.0,37.0,39.0,0,2.8613297296491744,1.0,1.0,1.9074324783116394,1.0395569512670497,55.187529427869286,2.6593016029553973,1.0,1.0,1.0,1.0,56.39290327934591,7.182070115933965,109.48417076840535,5
361,35.0,37.0,39.0,1,1.0,9.449019233543746,1.0,1.0,1.0,26.247819299670187,1.0,10.255292411318393,1.0,1.0,1.0,35.74014211230536,5.589456542824115,69.38780581889029,5
362,35.0,37.0,39.0,2,1.0,3.317425185198704,1.0,1.0,1.0,45.181344133773074,1.0,3.9523286711667316,1.0,1.0,1.0,49.426504743582626,7.870778814045739,95.95923549149397,5
