,lineage,s
1258,1258,-0.18754
1259,1259,-1.1482
1260,1260,-1.4436
1261,1261,-2.2807
1262,1262,-2.7872
1263,1263,-2.9282
1264,1264,-2.5045
1265,1265,-2.6603
1266,1266,-4.1968
1267,1267,-0.69856
1268,1268,-4.9983
1269,1269,-2.9282
1270,1270,-3.3793
1271,1271,-0.13692
1272,1272,-3.8511
1273,1273,-2.5422
1274,1274,-2.1667
1275,1275,-2.6724
1276,1276,-3.3793
1277,1277,-1.9563
1278,1278,-0.98225
1279,1279,-2.0314
1280,1280,-0.98145
1281,1281,-3.3793
1282,1282,-2.3047
1283,1283,-3.0982
1284,1284,-1.0214
1285,1285,-2.5422
1286,1286,-3.6408
1287,1287,-0.88471
1288,1288,-4.901
1289,1289,-0.69856
1290,1290,-1.0359
1291,1291,-1.6191
1292,1292,-0.27874
1293,1293,-0.28877
1294,1294,-1.9793
1295,1295,-2.116
1296,1296,-1.4329
1297,1297,-1.8501
1298,1298,-0.27874
1299,1299,-6.5105
1300,1300,-0.81439
1301,1301,-3.3793
1302,1302,-0.24246
1303,1303,-5.4402
1304,1304,-4.6613
1305,1305,-6.5105
1306,1306,-2.1336
1307,1307,-2.2522
1308,1308,-1.5065
1309,1309,-0.75149
1310,1310,-1.1821
1311,1311,-3.8511
1312,1312,-3.8038
1313,1313,-0.1783
1314,1314,-1.3905
1315,1315,-1.958
1316,1316,-4.0995
1317,1317,-1.4059
1318,1318,-1.2417
1319,1319,-2.193
1320,1320,-2.2807
1321,1321,-3.7431
1322,1322,-1.8295
1323,1323,-0.69637
1324,1324,-2.9487
1325,1325,-0.63001
1326,1326,-2.0592
1327,1327,-3.2285
1328,1328,-2.1336
1329,1329,-3.293
1330,1330,-2.9487
1331,1331,-1.9791
1332,1332,-1.0686
1333,1333,-1.6413
1334,1334,-0.38318
