,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
317,15.0,19.0,23.0,17,39602.98429117548,33405.046375281905,41385.83463531752,9,1
318,15.0,19.0,23.0,18,39602.98429117548,34262.81884262056,42465.01407530248,9,1
319,15.0,19.0,23.0,19,39602.98429117548,33022.79901088465,41657.43525237864,9,1
320,16.0,20.0,24.0,0,39602.98429117548,32568.748311701493,40402.27535134318,9,1
321,16.0,20.0,24.0,1,39602.98429117548,32568.748311701493,40410.70344855751,9,1
322,16.0,20.0,24.0,2,39602.98429117548,33739.71589127672,43571.096483511436,9,1
323,16.0,20.0,24.0,3,39602.98429117548,33216.049111279186,41876.778585425134,9,1
324,16.0,20.0,24.0,4,39602.98429117548,33731.72979354733,42776.60250630668,9,1
325,16.0,20.0,24.0,5,39602.98429117548,33042.68953353194,41647.71004135334,9,1
326,16.0,20.0,24.0,6,39602.98429117548,31567.08828267833,40053.16348508079,9,1
327,16.0,20.0,24.0,7,39602.98429117548,34262.81884262056,43531.081813352874,9,1
328,16.0,20.0,24.0,8,39602.98429117548,34962.02325451736,44548.83940570247,9,1
329,16.0,20.0,24.0,9,39602.98429117548,33260.586411674034,41876.778585425134,9,1
330,16.0,20.0,24.0,10,39602.98429117548,36780.89973804907,46863.844259416306,9,1
331,16.0,20.0,24.0,11,39602.98429117548,32092.57315748786,41109.05603792396,9,1
332,16.0,20.0,24.0,12,32495.196658030844,30823.728376798368,38809.69526918972,9,1
333,16.0,20.0,24.0,13,39602.98429117548,34104.297964488425,42952.0876057412,9,1
334,16.0,20.0,24.0,14,39602.98429117548,35218.71362813008,44696.09106661241,9,1
335,16.0,20.0,24.0,15,39602.98429117548,33766.740072115,43565.53386865604,9,1
336,16.0,20.0,24.0,16,39602.98429117548,35142.61713197007,43612.02962189605,9,1
337,16.0,20.0,24.0,17,39602.98429117548,35142.61713197007,43617.23960787407,9,1
338,16.0,20.0,24.0,18,39602.98429117548,33239.310543453685,41876.778585425134,9,1
339,16.0,20.0,24.0,19,39602.98429117548,35142.61713197007,43601.6728169259,9,1
340,17.0,21.0,25.0,0,29248.582409528764,25798.314054471735,32498.48798768418,9,1
341,17.0,21.0,25.0,1,31829.999528197615,29816.56161828834,38249.88630539216,9,1
342,17.0,21.0,25.0,2,29248.582409528764,26589.67198992342,32988.749368495526,9,1
343,17.0,21.0,25.0,3,33757.63457281458,28494.487016633117,36257.72159510539,9,1
344,17.0,21.0,25.0,4,30287.411809548496,26445.25202277077,33579.78996809955,9,1
345,17.0,21.0,25.0,5,31223.904436312736,28054.68042749402,35351.994555004385,9,1
346,17.0,21.0,25.0,6,29248.582409528764,25572.99486895232,32824.41019052124,9,1
347,17.0,21.0,25.0,7,29248.582409528764,26589.67198992342,32988.720260355614,9,1
348,17.0,21.0,25.0,8,30625.70680160088,26577.867092177774,33835.00785632794,9,1
349,17.0,21.0,25.0,9,34267.16693290848,29427.747700605913,36511.63956763145,9,1
350,17.0,21.0,25.0,10,29582.58915172877,26210.777676358855,33808.15188769368,9,1
351,17.0,21.0,25.0,11,30932.687936312483,27272.439745797594,33846.86821047887,9,1
352,17.0,21.0,25.0,12,31316.37095234886,26941.576766888,34609.71544314935,9,1
353,17.0,21.0,25.0,13,29729.35889035083,27972.739564821575,34716.00705720115,9,1
354,17.0,21.0,25.0,14,32578.441118508752,27343.63444455304,34703.256978047335,9,1
355,17.0,21.0,25.0,15,31393.338162046253,26903.12668760873,34750.562553382086,9,1
356,17.0,21.0,25.0,16,32166.131203730623,27102.723348408203,34405.93992875936,9,1
357,17.0,21.0,25.0,17,26650.30333159214,25274.987989408528,31358.468262578153,9,1
358,17.0,21.0,25.0,18,31951.167627325776,29993.714023847344,38212.78802548601,9,1
359,17.0,21.0,25.0,19,30486.541729033543,27828.47687475014,35463.32846405971,9,1
360,18.0,22.0,26.0,0,22629.711439520568,19467.286794453154,24795.198207044803,9,1
361,18.0,22.0,26.0,1,24475.994050356752,21994.17870854468,28256.177974341655,9,1
362,18.0,22.0,26.0,2,22629.711439520568,20508.74535411987,26031.140497271805,9,1
363,18.0,22.0,26.0,3,24475.994050356752,21973.043593487528,27779.257463262053,9,1
364,18.0,22.0,26.0,4,22629.711439520568,20655.3464277589,26243.17739689589,9,1
365,18.0,22.0,26.0,5,22629.711439520568,20000.342197103913,25376.877517833476,9,1
366,18.0,22.0,26.0,6,24475.994050356752,21708.253868562064,26943.73459666284,9,1
367,18.0,22.0,26.0,7,24475.994050356752,21708.253868562064,27500.487218114496,9,1
368,18.0,22.0,26.0,8,21497.756730563695,19530.145500977498,24589.066105007765,9,1
369,18.0,22.0,26.0,9,22629.711439520568,20689.31048401461,26257.12531496413,9,1
370,18.0,22.0,26.0,10,21520.18852254064,19328.79349467926,24940.563872729817,9,1
371,18.0,22.0,26.0,11,24475.994050356752,21708.253868562064,26946.652276127083,9,1
372,18.0,22.0,26.0,12,22629.711439520568,20118.32681318817,25561.011870771817,9,1
373,18.0,22.0,26.0,13,22629.711439520568,19518.391891303254,24765.927169310555,9,1
374,18.0,22.0,26.0,14,24475.994050356752,21048.375924603602,26729.654450229147,9,1
375,18.0,22.0,26.0,15,22629.711439520568,20534.616789933494,25868.071729437866,9,1
376,18.0,22.0,26.0,16,22629.711439520568,19853.559790019342,25100.334122330856,9,1
377,18.0,22.0,26.0,17,22629.711439520568,20634.92381579084,25583.135344728973,9,1
378,18.0,22.0,26.0,18,24475.994050356752,21708.253868562064,26938.612691354352,9,1
379,18.0,22.0,26.0,19,21489.162606509875,18874.580508311097,23858.03177260305,9,1
380,19.0,23.0,27.0,0,15126.99764578336,12969.612955183204,16663.537106697575,9,1
381,19.0,23.0,27.0,1,13733.090371260341,12151.808736004228,15312.740271693,9,1
